aimer, любить, мяч, хочу есть, кататься
aller, идти / ехать, аллея, аллергия, арбуз, хочу есть, мяч, кататься
apprendre, учить, апп, апрель, аппетит
arriver, прибывать / приходить, арривер, арена, арест
avoir, иметь, авуар, аванс, аромат
beau, красивый, скейт, велосипед, мяч, блок
blanc, белый, бланк, план, слон
bleu, синий, блюз, блеск, блок
boire, пить, мяч, велосипед, кататься
bon appétit, приятного аппетита, бонус, аппетит, бомба
bon, хороший, хочу есть, кататься, скейт
calme, спокойный, кал, кальмар, калитка
chanter, петь, шансон, шанс, шантаж
chaud, горячий, шо, шок, шоссе
cinq, пять, санки, цинк, сено
colorier, раскрашивать, колорит, колор, коридор
compter, считать, компот, компас, контур
content, довольный, контент, контур, кора
courir, бегать, курьер, курс, куртка
courir, бегать, хочу есть, кататься, скейт
court, короткий, курт, куртка, курс
danser, танцевать, дартс, дань, дача
déçu, разочарованный, дек, декор, декан, блок
descendre, спускаться / выходить (из транспорта), десандр, десерт, десант  
dessiner, рисовать, десерт, десант, десна
détendu, расслабленный, дет, детский, деталь  
deux, два, джаз, дым, душ
difficile, трудный, диф, диффуз, диффи
dire, говорить, мяч, велосипед, кататься
donner, давать, скейт, велосипед, мяч
dormir, спать, дар, домино, дозор
écouter, слушать, кататься, велосипед, скейт
écrire, писать, экран, эскорт, эфир
effrayé, испуганный, эфф, эфемер, эффект
énervé, раздражённый, энергия, эн, энтузиаст
ennuyé, скучающий, эннуй, эн, енот
enthousiaste, восторженный, энтузиазм, энтузиаст, эн
être, быть, этр, этрус, эфир
fâché, сердитый, фаш, фаша, фантик
facile, лёгкий, скейт, хочу есть, мяч
faible, слабый, фебль, фейбл, фейк
faire du vélo, кататься на велосипеде, велюр, велосипед, веник
faire, делать, фэр, фея, фартук
fatigué, уставший, фильм, круг, фант
fier, гордый, фирма, фиера, фейерверк
fort, сильный, мяч, хочу есть, кататься, фраза
froid, холодный, фройд, фраза, фронт, скейт
gêné, смущённый, жен, жену, гено
grand, большой, гранд, грант, граната
heureux, счастливый, эра, хвост, винт
inquiet, обеспокоенный, инк, инквизитор, инквиз, блок
j'ai faim, я голоден, фантом, фант, фламинго
j'ai soif, я хочу пить, соф, софа, сокол
jaloux, ревнивый, жалюзи, жал, жалоба
jaune, жёлтый, жанр, жакет, жар
je suis content de manger, я рад есть, контент, контур, кора
je suis content, я доволен, контент, контур, кора  
je suis triste sans dessert, мне грустно без десерта, трист, трио, трон  
je veux jouer, я хочу играть, жулик, жук, жюри
je veux manger, я хочу есть, манго, магия, мантия
jeune, молодой, скейт, велосипед, мяч
jouer au ballon, играть в мяч, жулик, баллон, балет
jouer, играть, жулик, жук, жюри
joyeux, радостный, жюри, жук, жулик
la baguette, багет, багетка, баг, бант
la balle, мячик, балет, балл, бант
la banane, банан, баня, бант, банда
la bicyclette, велосипед, бисквит, билет, бинокль
la bouche, рот, душ, бочка, бунт
la carotte, морковь, карот, карта, корова
la chaise, стул, шезлонг, шайба, шина, фраза
la chaussure, обувь, шнур, шутка, шум
la confiture, варенье, конфитюр, конфета, контур
la crêpe, блин, креп, крепость, кран
la dent, зуб, день, дент, денди
la fenêtre, окно, фен, фантик, факел
la fête, праздник, фет, фетр, фея
la fleur, цветок, лира, флот, фляга
la fraise, клубника, фраза, фрейм, фреска
la girafe, жираф, гиря, граф, гирлянда
la glace, мороженое, глаз, глас, глина
la jambe, нога, жаба, жам, жамка
la langue, язык, ланг, лангет, ланка
la lune, луна, лампа, люк, лук
la main, рука, майн, майна, май
la maison, дом, мазь, май, зон
la mer, море, мэр, мера, мел
la mère, мама, мэр, смог, мелок
la moto, мотоцикл, мото, моток, мотор
la moto, мотоцикл, мяч, хочу есть, кататься
la neige, снег, нога, неон, невод
la nuit, ночь, нота, нога, нут
la pâte, тесто, пат, патрон, паста, фраза
la plage, пляж, планка, плащ, пламя
la pluie, дождь, плющ, паук, пруд
la pomme de terre, картофель, помпа, пот, порт
la pomme, яблоко, помпа, она, помет
la porte, дверь, порт, порог, порошок
la poule, курица, пульс, пуля, кран
la rivière, река, левша, рана, рог
la robe, платье, роба, робот, рог
la rue, улица, рюкзак, рюша, руда
la salade, салат, сала, сало, салон
la sœur, сестра, снек, снег, сыр
la soupe, суп, сопа, сода, сокол
la table, стол, столб, табло, талант
la tarte, пирог, тарт, тарталетка, тент
la tempête, буря, темп, тент, тезис
la terre, земля, тёрка, тир, тень
la tête, голова, тесто, тест, тент
la tomate, помидор, томат, том, торт
la tortue, черепаха, тор, торт, тур
la trottinette, самокат, тротинет, тротуар, тростник
la vache, корова, ваш, вагон, вата
la viande, мясо, вата, виза, вира, вагон
la voiture, машина, вуатюр, вата, вагон
la voiture, машина, кататься, скейт, мяч
l'agneau, ягнёнок, агнец, ангел, анкер
l'air, воздух, аромат, икра, ядро
l'âne, осёл, аня, ангел, анкер
l'anniversaire, день рождения, анни, ани, анкер
l'arbre, дерево, абрикос, брешь, брак
l'arrêt de bus, остановка автобуса, мост, арена, арест  
l'avion, самолёт, авиа, аванс, авантюра
l'avion, самолёт, скейт, кататься, мяч, вагон
le ballon de foot, футбольный мяч, баллон, футбол, форт
le ballon, мяч, баллон, баловень, балет
le bateau, лодка, бато, батон, батут
le beurre, масло, бюретка, бегун, борт
le biscuit, печенье, бисквит, билет, бинокль
le bœuf, говядина, бёф, борт, бой
le bonbon, конфета, бонус, бомба, бон
le bras, рука (плечо), брас, брак, брат
le bus, автобус, бус, бунт, борт
le bus, автобус, скейт, велосипед, мяч
le cadeau, подарок, кадо, кадр, кабан
le café, кофе, кафель, кабан, кадр
le camion, грузовик, камьон, камыш, камень
le canard, утка, кран, канал, канат
le chapeau, шапка, шило, оса, шанс
le chat, кот, чат, шапка, чадо
le cheval, лошадь, шеврон, шваль, шов
le chien, собака, шершень, стакан, шило
le chocolat chaud, горячий шоколад, шок, чок, шокол
le chocolat, шоколад, шок, шокол, чок
le ciel, небо, сито, сила, сено
le cochon, свинья, кокон, ковш, козырь
le cœur, сердце, кур, кор, кер
le cou, шея, кук, ку, курс
le croissant, круассан, кросс, кран, крокодил
le dauphin, дельфин, дофин, даф, долфин, вагон
le dessert, десерт, десант, десна, десертный
le doigt, палец, дуэт, дой, дойка
le dos, спина, доза, дом, дозор
le feu, огонь, фея, фартук, швея,
le frère, брат, фреза, флаг, фланг
le fromage blanc, творог, фромаж, форма, флот
le fromage, сыр, фургон, форма, флот
le gant, перчатка, гантель, фантик, грант
le gâteau, торт, гатить, гантель, гавань
le genou, колено, жену, жен, гено
le hamster, хомяк, хамстер, хам, мастер
le jambon, ветчина, жам, жаба, жамка
le jouet, игрушка, жук, жюри, жулик
le jour, день, журнал, жюри, жук
le jus, сок, жус, журавль, жук
le kangourou, кенгуру, канг, кур, канат
le lait, молоко, лёд, лай, лосьон
le lapin, кролик, лапин, лапоть, лагерь
le lion, лев, лион, лимон, лист
le lit, кровать, литр, лист, липа
le livre, книга, ливень, лира, слива
le loup, волк, лупа, лужа, лук
le magasin, магазин, маг, магия, магнит
le matin, утро, март, матрос, мак
le métro, метро, метр, метла, метрошка, хочу есть, скейт, мяч
le miel, мёд, миел, милый, миль
le mouton, овца, мутон, моток, мотор
le nez, нос, глаз, невод, свет
le pain, хлеб, пано, икра, печь
le pantalon, брюки, пано, патрон, паром
le papillon, бабочка, папа, пилон, папильон
le parc, парк, пар, паром, парад
le père, папа, пано, перо, пар
le pied, нога (ступня), пьед, пид, пиедестал
le poisson rouge, золотая рыбка, пояс, посол, писк
le poisson, рыба, пояс, посол, писк, курица, пул
le poulet, курица, пул, пулемёт, пульт
le riz, рис, риф, ринг, ритм
le sandwich, бутерброд, сэндвич, сан, сандалия
le scooter, самокат, скейт, велосипед, мяч
le singe, обезьяна, синь, сингл, синус
le skate, скейт, скат, скатерть, скатка
le soir, вечер, сэр, соя, свет
le soleil, солнце, соль, соя, сон
le sucre, сахар, сукно, сук, сургуч
le taxi, такси, такс, такса, тактика, теннис, тенни
le tennis, теннис, тенни, тен, тент, такс, такса
le thé, чай, тент, тезис, темп, такс, такса
le tigre, тигр, тигрёнок, тиг, трио
le train, поезд, мяч, кататься, хочу есть, трэн, трон, трос
le tram, трамвай, трам, трамплин, трава
le vélo, велосипед, велюр, волей, веник
le vent, ветер, вентиль, вензель, винт
le ventre, живот, вентиль, вент, вензель
le vin, вино, винт, виза, вихрь
le yaourt, йогурт, ягуар, якорь, ярмарка
l'eau, вода, эва, вагон, он
l'école, школа, эхо, ухо, эльф,кола,кукушка
léger, лёгкий, лежер, лежак, легион
l'éléphant, слон, элефант, элемент, эльф
l'enfant, ребёнок, фантан, бант, кино
lent, медленный, лента, лентяй, лень
l'épaule, плечо, эполь, эпос, эпатаж
les cheveux, волосы, шевро, шев, шевель
l'hélicoptère, вертолёт, элико, эльф, эхо
l'heure, час, эра, эрудит, эфир
lire, читать, кататься, велосипед, скейт
l'œil, глаз, оса, ель, ил
l'œuf, яйцо, эф, эхо, эльф
l'oiseau, птица, пчела, оса, зов
long, длинный, лонг, лонжа, лонгитюд
l'orage, гроза, орава, орган, апельсин
l'orange, апельсин, оранж, орган, оранжевый
l'oreille, ухо, рельс, репа, река
lourd, тяжёлый, лурд, лорд, лужа
l'ours, медведь, урсус, узор, улей
manger, есть, манго, магия, мантия
manger, есть, хочу есть, кататься, скейт
marcher, ходить, скейт, велосипед, мяч
mauvais, плохой, мова, мавр, мавзолей
monter, подниматься / садиться (в транспорт), монтер, монтаж, мотор
motivé, мотивированный, мотив, мотор, моток
nager dans la piscine, плавать в бассейне, нагар, бассейн, бас
nager, плавать, нагар, наглый, нагнет
nouveau, новый, нуво, нова, новость
nouveau, новый, хочу есть, кататься, скейт
parler, говорить, мяч, хочу есть, кататься
parler, говорить, паром, парад, парик
partir, уезжать / уходить, партир, партия, парт
partir, уходить, хочу есть, кататься, скейт
petit, маленький, петит, петух, петля
petit, маленький, хочу есть, мяч, кататься
pouvoir, мочь / смочь, пульс, пульт, пудра
prendre, брать / взять, прандр, пруд, прыжок
propre, чистый, пропр, проп, пропан
quatre, четыре, квант, квас, кран
rapide, быстрый, мяч, хочу есть, кататься
ravi, восхищённый, равиоли, рав, рапорт
regarder, смотреть, скейт, хочу есть, мяч
rester, оставаться, мяч, велосипед, кататься
rouge, красный, ружьё, руда, рояль
sale, грязный, саль, салат, сало  
sauter, прыгать, мяч, велосипед, кататься
sauter, прыгать, сатурн, сауна, саван
savoir, знать, кататься, велосипед, скейт
surpris, удивлённый, свет, сюртук, сироп
triste, грустный, трио, трон, туз
trois, три, тридцать, трон, трос
un, один, унция, узор, улей
venir, приходить, венир, веник, венок
vert, зелёный, бант, вёрст, вентиль
vieux, старый, вьё, вьюга, вьюн
voir, видеть, скейт, хочу есть, мяч
voler, летать, воля, волей, волк
vouloir, хотеть, вулуар, воля, волей
