le pouls,пульс,сердце,биение,частота,поток,тянуть
l'entraînement,тренировка,обучение,упражнение,практика,сессия,тренер
la fréquence cardiaque,частота сердечных сокращений,пульсовая частота,сердечный ритм,сердцебиение,кардио,частота
l'endurance,выносливость,стамина,продолжительность,сила,мощь,выдерживать
la récupération,восстановление,отдых,исцеление,ремонт,восстанавливать,операция
je,я,ты,он,она,мы,они
tu,ты (неформально),я,он,она,мы,они
il,он это,она,они,ты,мы,ему
elle,она это,он,они,ты,мы,ей
nous,мы,нас,они,ты,я,он
vous,вы (формально/мн.ч.),мы,они,я,он,нас
ils,они (муж.),он,она,мы,ты,нас
elles,они (жен.),он,она,мы,ты,нас
on,человек мы,они,ты,он,она,это
être,быть,иметь,делать,идти,видеть,знать
avoir,иметь,быть,делать,хотеть,мочь,идти
aller,идти,приходить,бежать,ходить,видеть,делать
faire,делать делать,идти,быть,иметь,говорить,видеть
dire,говорить,рассказывать,спрашивать,делать,делать,говорить
pouvoir,мочь,хотеть,знать,иметь,идти,делать
vouloir,хотеть,мочь,знать,нравиться,любить,нуждаться
savoir,знать,мочь,думать,верить,понимать,учить
voir,видеть,смотреть,наблюдать,знать,находить,понимать
venir,приходить,идти,прибывать,возвращаться,уходить,входить
prendre,брать,получать,приносить,делать,делать,давать
donner,давать,брать,приносить,делать,делать,говорить
parler,говорить,разговаривать,говорить,рассказывать,спрашивать,звонить
aimer,нравиться,любить,хотеть,знать,видеть,иметь
manger,есть,пить,брать,иметь,потреблять,наслаждаться
boire,пить,есть,брать,иметь,потреблять,наслаждаться
dormir,спать,отдыхать,лежать,оставаться,идти,просыпаться
travailler,работать,делать,делать,учиться,идти,жить
étudier,учиться,изучать,читать,работать,знать,видеть
lire,читать,видеть,писать,учиться,изучать,говорить
écrire,писать,читать,говорить,рассказывать,учиться,изучать
écouter,слушать,слышать,говорить,разговаривать,говорить,рассказывать
regarder,смотреть,глядеть,видеть,слушать,находить,знать
acheter,покупать,продавать,брать,получать,иметь,давать
vendre,продавать,покупать,брать,давать,иметь,находить
la maison,дом,дом,здание,комната,место,семья
le temps,время,погода,час,день,момент,период
le jour,день,время,ночь,неделя,солнце,свет
l'année,год,время,день,месяц,период,возраст
l'homme,мужчина,женщина,человек,ребёнок,друг,взрослый
la femme,женщина,мужчина,человек,ребёнок,друг,взрослый
l'enfant,ребёнок,малыш,мальчик,девочка,взрослый,друг
l'ami,друг,лучший друг,компаньон,приятель,партнёр,семья
l'eau,вода,река,море,жидкость,напиток,напиток
la nourriture,еда,приём пищи,блюдо,тарелка,завтрак,ужин
la voiture,машина,транспорт,грузовик,велосипед,поезд,автобус
le livre,книга,роман,история,страница,глава,читать
le chien,собака,питомец,животное,кошка,лошадь,друг
le chat,кошка,питомец,животное,собака,лошадь,друг
le travail,работа,работа,занятость,карьера,офис,задача
l'école,школа,университет,класс,урок,учитель,ученик
grand,большой,большой,великий,высокий,маленький,хороший
petit,маленький,маленький,большой,молодой,старый,короткий
bon,хороший,плохой,хороший,хорошо,отлично,великий
nouveau,новый,старый,современный,свежий,молодой,недавний
vieux,старый,новый,древний,классический,использованный,старый
beau,красивый,красивый,красивый,уродливый,хороший,отличный
mauvais,плохой,хороший,ужасный,отвратительный,хороший,неправильный
heureux,счастливый,грустный,радостный,радостный,довольный,возбуждённый
triste,грустный,счастливый,вниз,несчастный,меланхоличный,подавленный
merci,спасибо,спасибо,пожалуйста,пожалуйста,извините,привет
bonjour,здравствуйте,привет,доброе утро,добрый день,до свидания,спасибо
au revoir,до свидания,пока,увидимся,привет,спокойной ночи,спасибо
s'il vous plaît,пожалуйста,спасибо,извините,извините,привет,до свидания
oui,да,нет,может быть,хорошо,конечно,возможно
non,нет,да,может быть,хорошо,не,конечно
où,где,когда,почему,как,кто,что
quand,когда,где,почему,как,кто,что
pourquoi,почему,где,когда,как,кто,что
comment,как,где,когда,почему,кто,что
qui,кто,где,когда,почему,как,что
quoi,что,где,когда,почему,как,кто
il y a,есть,есть,это есть,у него есть,у меня есть,у нас есть
je suis,я есть,он есть,она есть,мы есть,ты есть,они есть
tu es,ты есть,я есть,он есть,она есть,мы есть,они есть
il est,он есть,она есть,это есть,ты есть,мы есть,они есть
je vais,я иду,я иду,я прихожу,я хочу,я могу,она идёт
je pense,я думаю,я верю,я знаю,я говорю,я иду,он думает
elle fait,она делает,она делает,он делает,я делаю,мы делаем,она идёт
je fais,я делаю,я делаю,я иду,я есть,я думаю,я имею
nous avons,у нас есть,мы есть,мы делаем,мы идём,мы хотим,мы думаем
vous êtes,вы есть,у вас есть,вы делаете,вы идёте,вы хотите,вы думаете
je veux,я хочу,я могу,я нуждаюсь,мне нравится,я люблю,я знаю
je sais,я знаю,я думаю,я верю,я понимаю,я учу,я вижу
tu as,у тебя есть,ты есть,ты делаешь,ты идёшь,ты хочешь,ты думаешь
maintenant,сейчас,позже,скоро,тогда,сегодня,вчера
plus tard,позже,сейчас,скоро,тогда,сегодня,вчера
la famille,семья,друг,дом,родители,дети,дом
le monde,мир,земля,планета,страна,место,вселенная
la vie,жизнь,смерть,существование,день,время,мир
la chose,вещь,объект,предмет,вещи,кусок,немного
la partie,часть,кусок,целое,секция,немного,доля
l'endroit,место,точка,расположение,сайт,область,позиция
la personne,человек,мужчина,женщина,ребёнок,индивид,кто-то
l'amour,любовь,нравится,привязанность,страсть,дружба,ненависть
l'argent,деньги,наличные,богатство,монета,купюра,состояние
la ville,город,городок,деревня,место,столица,область
le pays,страна,нация,государство,земля,регион,королевство
le soleil,солнце,звезда,свет,день,жара,луна
la lune,луна,солнце,звезда,ночь,свет,тьма
la nuit,ночь,день,вечер,тьма,время,сон
le matin,утро,день,вечер,ночь,рассвет,восход
le soir,вечер,ночь,утро,день,сумерки,закат
la semaine,неделя,день,месяц,год,время,период
le mois,месяц,неделя,день,год,время,период
l'an,год,возраст,время,день,месяц,период
l'amie,подруга,друг,компаньон,приятель,приятельница,партнёр
le frère,брат,сестра,семья,сын,отец,дядя
la sœur,сестра,брат,семья,дочь,мать,тётя
le père,отец,мать,родитель,папа,сын,брат
la mère,мать,отец,родитель,мама,дочь,сестра
le fils,сын,мальчик,ребёнок,дочь,отец,брат
la fille,дочь,девочка,ребёнок,сын,мать,сестра
le cœur,сердце,ядро,центр,любовь,биение,чувство
la tête,голова,ум,мозг,верх,лидер,лицо
la main,рука,рука,ладонь,палец,помощь,сторона
le pied,нога,нога,основа,шаг,ходить,обувь
l'œil,глаз,зрение,взгляд,видение,лицо,видеть
l'oreille,ухо,слух,звук,слушать,сторона,голова
la bouche,рот,губы,разговор,есть,говорить,голос
la dent,зуб,рот,укус,есть,улыбка,боль
le cheveu,волос,голова,прядь,стиль,цвет,стрижка
le visage,лицо,голова,взгляд,выражение,сторона,перед
le corps,тело,фигура,форма,форма,человек,здоровье
l'esprit,ум,дух,мысль,идея,мозг,душа
l'idée,идея,мысль,концепция,план,понятие,взгляд
la pensée,мысль,идея,ум,мышление,размышление,мнение
le mot,слово,термин,фраза,поговорка,буква,речь
la phrase,предложение,фраза,выражение,слово,утверждение,строка
la question,вопрос,запрос,проблема,проблема,сомнение,спрашивать
la réponse,ответ,ответ,решение,ответ,ключ,результат
le problème,проблема,проблема,трудность,вопрос,неприятность,вызов
la solution,решение,ответ,фикс,ключ,способ,результат
la raison,причина,причина,логика,ум,здравый смысл,почему
la cause,причина,причина,источник,происхождение,корень,фактор
l'effet,эффект,результат,влияние,результат,последствие,влияние
le résultat,результат,результат,эффект,счёт,продукт,ответ
le changement,изменение,изменение,сдвиг,модификация,вариация,обмен
la différence,разница,контраст,вариация,отличие,разрыв,разрыв
la similitude,сходство,сходство,сходство,параллель,аналогия,одинаковость
la beauté,красота,прелесть,привлекательность,грация,красивость,очарование
la laideur,уродство,непривлекательность,ужасность,отталкиваность,ужасность,чудовищность
la force,сила,мощь,мощь,сила,энергия,способность
la faiblesse,слабость,хрупкость,слабость,немощь,уязвимость,недостаток
la joie,радость,счастье,восторг,веселье,удовольствие,блаженство
la peine,горе,боль,горе,неприятность,трудность,усилие
la douleur,боль,боль,страдание,боль,агония,дискомфорт
le plaisir,удовольствие,наслаждение,восторг,веселье,радость,удовлетворение
le besoin,нужда,требование,необходимость,желание,требование,порыв
l'envie,желание,желание,порыв,страстное желание,тоска,зависть
le désir,желание,желание,тоска,страстное желание,страсть,порыв
la peur,страх,испуг,ужас,террор,тревога,испуг
la colère,гнев,ярость,ярость,гнев,раздражение,обида
la tristesse,грусть,мрачность,меланхолия,горе,несчастье,депрессия
le bonheur,счастье,радость,блаженство,довольство,восторг,удовольствие
la liberté,свобода,свобода,независимость,автономия,освобождение,выбор
l'égalité,равенство,паритет,эквивалентность,одинаковость,баланс,справедливость
la justice,справедливость,справедливость,праведность,закон,равенство,мораль
la vérité,правда,факт,реальность,точность,честность,правильность
le mensonge,ложь,ложь,обман,неправда,выдумка,история
l'erreur,ошибка,ошибка,вина,неточность,промах,оплошность
le succès,успех,достижение,победа,достижение,триумф,выигрыш
l'échec,неудача,поражение,потеря,неудача,крах,промах
le début,начало,начало,начало,начало,открытие,введение
la fin,конец,заключение,окончание,завершение,закрытие,окончание
le milieu,середина,центр,середина,средний,средний,окружение
le côté,сторона,край,часть,направление,аспект,команда
la direction,направление,путь,руководство,управление,инструкция,заголовок
le chemin,путь,тропинка,дорога,маршрут,трасса,курс
la route,дорога,путь,маршрут,шоссе,тропинка,улица
la rue,улица,дорога,путь,авеню,переулок,аллея
la place,место,площадь,точка,позиция,сиденье,расположение
l'espace,пространство,комната,область,место,промежуток,расстояние
le moment,момент,мгновение,время,точка,случай,минута
l'heure,час,время,часы,период,момент
la minute,минута,момент,маленькое время,шестьдесят секунд,краткий,короткий
la seconde,секунда,момент,краткое время,единица,время,короткий
le siècle,век,100 лет,эра,возраст,период,время
l'histoire,история,рассказ,прошлое,сказка,отчёт,повествование
la langue,язык,язык,речь,идиома,диалект,слово
la parole,слово,речь,разговор,высказывание,утверждение,голос
la voix,голос,звук,тон,речь,пение,мнение
le son,звук,шум,тон,звон,зов,аудио
le bruit,шум,звук,грохот,грохот,беспокойство,гам
le silence,тишина,тишина,покой,мир,тишина,спокойствие
la lumière,свет,яркость,освещение,дневной свет,блеск,луч
l'ombre,тень,тень,тьма,силуэт,призрак,след
la couleur,цвет,оттенок,тень,оттенок,пигмент,внешность
le rouge,красный,цвет,алый,пурпурный,кровь,страсть
le bleu,синий,цвет,лазурный,небо,океан,грусть
le vert,зелёный,цвет,изумрудный,трава,природа,зависть
le jaune,жёлтый,цвет,золотой,солнце,лимон,осторожность
le noir,чёрный,цвет,тёмный,зло,ночь,отсутствие
le blanc,белый,цвет,чистый,снег,свет,пустой
le gris,серый,цвет,серый,пепел,тусклый,нейтральный
le rose,розовый,цвет,роза,цветок,мягкий,романтичный
le brun,коричневый,цвет,загар,земля,дерево,шоколад
long,длинный,длинный,продолжительный,высокий,затянутый,растянутый
court,короткий,краткий,маленький,сжатый,сокращённый,близкий
large,широкий,широкий,большой,просторный,обширный,обширный
étroit,узкий,тонкий,тесный,ограниченный,тесный,близкий
haut,высокий,высокий,высокий,верхний,возвышенный,поднятый
bas,низкий,короткий,база,вниз,нижний,низший
profond,глубокий,глубокий,интенсивный,далёкий,бездонный,серьёзный
superficiel,поверхностный,мелкий,поверхность,поверхностный,тривиальный,явный
rapide,быстрый,быстрый,быстрый,скоростной,стремительный,быстрый
lent,медленный,вялый,медлительный,задержанный,медлительный,постепенный
jeune,молодой,юный,новый,юношеский,незрелый,свежий
ancien,древний,старый,бывший,предыдущий,антикварный,прошлый
moderne,современный,современный,современный,новый,текущий,прогрессивный
futur,будущее,грядущий,предстоящий,следующий,перспективный,предстоящий
passé,прошлое,предыдущий,бывший,прошлый,истёкший,предыдущий
présent,настоящее,текущий,сейчас,подарок,здесь,существующий
absent,отсутствующий,отсутствующий,отсутствующий,не присутствующий,ушедший,недоступный
riche,богатый,богатый,зажиточный,состоятельный,роскошный,процветающий
pauvre,бедный,нуждающийся,обнищавший,разорившийся,бедный,скудный
fort,сильный,мощный,могучий,крепкий,прочный,силовой
faible,слабый,слабый,хилый,хрупкий,нежный,неэффективный
intelligent,интеллектуальный,умный,умный,яркий,мозговитый,острый
stupide,глупый,тупой,глупый,глупый,идиотский,неинтеллектуальный
gentil,добрый,хороший,нежный,приятный,дружелюбный,хороший
méchant,злой,непослушный,злой,злой,жестокий,плохой
calme,спокойный,тихий,мирный,спокойный,безмятежный,тихий
agité,возбуждённый,беспокойный,бурный,расстроенный,возбуждённый,нервный
facile,лёгкий,простой,прямой,безусильный,лёгкий,неосложнённый
difficile,трудный,тяжёлый,трудный,сложный,сложный,тяжёлый
possible,возможный,осуществимый,вероятный,достижимый,вероятный,выполнимый
impossible,невозможный,неосуществимый,недостижимый,немыслимый,никак,абсурдный
vrai,правда,реальный,подлинный,фактический,правильный,правый
faux,ложный,неправильный,фальшивый,неправда,неправильный,поддельный
utile,полезный,помощный,полезный,практичный,удобный,ценный
inutile,бесполезный,бессмысленный,тщетный,бесценный,неэффективный,бесполезный
important,важный,значительный,главный,ключевой,жизненно важный,решающий
sans importance,неважный,тривиальный,маленький,незначительный,пренебрежительный,нерелевантный
intéressant,интересный,увлекательный,увлекательный,интригующий,убедительный,заметный
ennuyeux,скучный,тусклый,утомительный,утомительный,монотонный,неинтересный
laid,уродливый,непривлекательный,ужасный,неприглядный,отталкивающий,ужасный
propre,чистый,аккуратный,опрятный,чистый,свой,правильный
sale,грязный,грязный,грязный,грязный,нечистый,запачканный
plein,полный,полный,заполненный,упакованный,переполненный,целый
vide,пустой,пустой,пустой,пустой,бесплодный,незанятый
chaud,горячий,тёплый,нагретый,острый,горящий,страстный
froid,холодный,прохладный,холодный,ледяной,холодный,недружелюбный
sec,сухой,засушливый,высохший,обезвоженный,бесплодный,остроумный
humide,мокрый,влажный,влажный,влажный,мокрый,водянистый
ouvert,открытый,открытый,доступный,доступный,откровенный,явный
fermé,закрытый,закрытый,закрытый,запечатанный,оконченный,завершённый
commencer,начинать,начинать,начинать,инициировать,запускать,открывать
finir,заканчивать,заканчивать,завершать,заключать,завершать,останавливать
continuer,продолжать,продолжать,продолжать,продолжать,продолжать,идти дальше
arrêter,останавливать,останавливать,прекращать,бросать,арестовывать,предотвращать
attendre,ждать,ожидать,ждать,предвкушать,держаться,пауза
partir,уходить,уезжать,идти,отправляться,выходить,начинать
arriver,прибывать,приходить,происходить,происходить,достигать,успевать
rester,оставаться,оставаться,держать,быть,жить,ждать
retourner,возвращаться,возвращаться,переворачивать,переворачивать,возвращаться,возвращать
entrer,входить,входить,входить,присоединяться,вставлять,начинать
sortir,выходить,выходить,уходить,выносить,выходить,появляться
monter,подниматься,карабкаться,подниматься,восходить,увеличиваться,монтировать
descendre,спускаться,спускаться,выходить,уменьшаться,опускать,падать
ouvrir,открывать,открывать,начинать,разворачивать,раскрывать,открывать
fermer,закрывать,закрывать,закрывать,заканчивать,заключать,запечатывать
recevoir,получать,получать,принимать,приветствовать,получать,принимать гостей
demander,спрашивать,просить,спрашивать,требовать,требовать,умолять
répondre,отвечать,отвечать,отвечать,реагировать,соответствовать,соответствовать
penser,думать,верить,рассматривать,воображать,предполагать,размышлять
croire,верить,думать,доверять,предполагать,признавать,принимать
comprendre,понимать,понимать,схватывать,осознавать,включать,покрывать
apprendre,учить,учить,слышать,узнавать,запоминать,учиться
oublier,забывать,упускать,пренебрегать,оставлять позади,игнорировать,пропускать
se souvenir,помнить,вспоминать,держать в уме,запоминать,вспоминать,сохранять
détester,ненавидеть,ненавидеть,не нравиться,презирать,отвращаться,презирать
préférer,предпочитать,нравиться больше,предпочитать,выбирать,выбирать,склоняться
choisir,выбирать,выбирать,выбирать,решать,избирать,выбирать
décider,решать,определять,разрешать,урегулировать,решать,заключать
changer,менять,изменять,модифицировать,переключать,обменивать,преобразовывать
garder,хранить,сохранять,держать,спасать,сохранять,поддерживать
perdre,терять,терять,тратить,лишаться,терпеть неудачу,падать
trouver,находить,обнаруживать,находить,встречать,осознавать,думать
chercher,искать,искать,искать,охотиться,пытаться,проверять
sentir,чувствовать,чувствовать запах,ощущать,воспринимать,обнаруживать,замечать
goûter,пробовать,пробовать,пробовать,смаковать,испытывать,наслаждаться
toucher,касаться,чувствовать,контактировать,достигать,влиять,трогать
bouger,двигаться,сдвигать,шевелить,шевелиться,менять,идти
marcher,ходить,работать,функционировать,шагать,идти,маршировать
courir,бежать,гнать,спешить,течь,управлять,работать
sauter,прыгать,прыгать,пропускать,прыгать,отскакивать,опускать
voler,летать,красть,грабить,парить,скользить,воровать
nager,плавать,купаться,плавать,нырять,грести,пересекать
danser,танцевать,двигаться,исполнять,качаться,праздновать,вечеринка
chanter,петь,петь,праздновать,напевать,кричать,хвалить
jouer,играть,действовать,играть в азартные игры,исполнять,шутить,спорт
dessiner,рисовать,эскизировать,проектировать,очерчивать,изображать,планировать
peindre,рисовать,изображать,портретировать,покрывать,окрашивать,описывать
construire,строить,строить,делать,возводить,развивать,создавать
détruire,уничтожать,разрушать,разрушать,ломать,ломать,уничтожать
réparer,ремонтировать,чинить,чинить,восстанавливать,исправлять,исцелять
casser,ломать,разбивать,ломать,взрываться,терпеть неудачу,портить
couper,резать,нарезать,подрезать,рубить,прерывать,уменьшать
coller,клеить,клеить,вставлять,прилипать,прикреплять,публиковать
jeter,бросать,бросать,выбрасывать,бросать,отвергать,тратить
attraper,ловить,хватать,захватывать,захватывать,получать,понимать
lancer,бросать,запускать,начинать,бросать,бросать,инициировать
pousser,толкать,толкать,побуждать,продвигать,расти,поощрять
tirer,тянуть,рисовать,стрелять,тащить,извлекать,стрелять
porter,носить,нести,нести,поддерживать,приносить,выдерживать
enlever,удалять,снимать,убирать,похищать,снимать,очищать
mettre,класть,помещать,устанавливать,носить,применять,класть
poser,класть,помещать,устанавливать,спрашивать,класть,позу
lever,поднимать,поднимать,вставать,подниматься,поддерживать,поднимать
baisser,опускать,опускать,уменьшать,уменьшать,сгибать,уменьшать
tourner,поворачивать,вращать,крутить,крутить,менять,снимать
suivre,следовать,преследовать,подчиняться,отслеживать,понимать,продолжать
précéder,предшествовать,идти впереди,вести,предвосхищать,предшествовать,вводить
accompagner,сопровождать,идти с,сопровождать,посещать,дополнять,соответствовать
quitter,уходить,бросать,покидать,уезжать,отказываться,бросать
rejoindre,присоединяться,встречать,догонять,достигать,воссоединяться,объединять
séparer,разделять,разделять,разделять,отделять,разделять,изолировать
réunir,воссоединять,собирать,собирать,присоединять,собирать,объединять
mélanger,смешивать,смешивать,объединять,запутывать,смешивать,мешать
ajouter,добавлять,включать,присоединять,вносить,дополнять,прикреплять
multiplier,умножать,увеличивать,размножать,размножать,усиливать,увеличивать
diviser,делить,разделять,делить,отделять,распределять,классифицировать
calculer,вычислять,вычислять,считать,рассчитывать,оценивать,считать
mesurer,измерять,измерять,оценивать,взвешивать,измерять,оценивать
compter,считать,полагаться,зависеть,иметь значение,нумеровать,рассчитывать
peser,взвешивать,рассматривать,размышлять,балансировать,оценивать,измерять
comparer,сравнивать,контрастировать,сравнивать,соответствовать,приравнивать,параллелить
juger,судить,судить,считать,рассматривать,оценивать,решать
douter,сомневаться,вопрошать,подозревать,колебаться,не доверять,колебаться
espérer,надеяться,ожидать,желать,предвкушать,доверять,желать
craindre,бояться,ужасаться,бояться,беспокоиться,опасаться,подозревать
risquer,рисковать,рисковать,рисковать,подвергать опасности,рисковать,играть
éviter,избегать,уклоняться,предотвращать,избегать,уклоняться,обходить
rencontrer,встречать,встречать,натыкаться,сталкиваться,испытывать,находить
saluer,приветствовать,салютовать,махать,приветствовать,обращаться,приветствовать
présenter,представлять,представлять,показывать,предлагать,представлять,предлагать
excuser,извинять,прощать,прощать,извиняться,оправдывать,освобождать
remercier,благодарить,ценить,быть благодарным,признавать,кредитовать,награждать
féliciter,поздравлять,комплимент,хвалить,аплодировать,праздновать,желать
critiquer,критиковать,рецензировать,осуждать,судить,находить недостатки,комментировать
louer,хвалить,арендовать,нанимать,хвалить,восхвалять,восхвалять
blâmer,винить,критиковать,упрекать,обвинять,винить,осуждать
soutenir,поддерживать,поддерживать,поддерживать,поддерживать,поддерживать,нести
aider,помогать,помогать,помогать,поддерживать,облегчать,облегчать
protéger,защищать,охранять,защищать,защищать,сохранять,защищать
attaquer,атаковать,нападать,критиковать,обвинять,нападать,ударять
défendre,защищать,защищать,поддерживать,запрещать,запрещать,защищать
combattre,сражаться,бороться,сражаться,бороться,противостоять,сопротивляться
partager,делить,делить,разделять,участвовать,распределять,общаться
apporter,приносить,нести,вносить,добавлять,поставлять,вызывать
emporter,уносить,уносить,удалять,выигрывать,преобладать,преодолевать
ramener,приносить обратно,уносить обратно,уменьшать,приводить обратно,восстанавливать,вспоминать
rapporter,сообщать,приносить обратно,рассказывать,приносить,возвращать,рассказывать
payer,платить,оплачивать,награждать,страдать,приносить,компенсировать
coûter,стоить,быть дорогим,требовать,брать,вызывать,влечь
valoir,стоить,заслуживать,заслуживать,равняться,быть действительным,держать
dépenser,тратить,расходовать,потреблять,тратить,использовать,расточать
économiser,сохранять,экономить,экономить,сохранять,сохранять,хранить
investir,инвестировать,вкладывать,посвящать,тратить,вкладывать,ставить
emprunter,занимать,брать,копировать,имитировать,принимать,предполагать
prêter,одалживать,давать,приписывать,приписывать,передавать
offrir,предлагать,давать,предоставлять,представлять,предлагать,добровольно
accepter,принимать,получать,соглашаться,признавать,приветствовать,одобрять
refuser,отказывать,отвергать,отклонять,отрицать,отказываться,отвергать
permettre,позволять,разрешать,давать возможность,авторизовать,позволять,давать
interdire,запрещать,запрещать,запрещать,предотвращать,запрещать,вето
obliger,обязывать,заставлять,принуждать,требовать,связывать,ограничивать
forcer,заставлять,принуждать,ломать,напрягать,толкать,гнать
encourager,поощрять,побуждать,продвигать,вдохновлять,стимулировать,ободрять
décourager,обескураживать,разочаровывать,отпугивать,подавлять,отговаривать,гасить
convaincre,убеждать,уговаривать,убеждать,удовлетворять,уверять,доказывать
persuader,уговаривать,убеждать,побуждать,уговаривать,побуждать,влиять
suggérer,предлагать,предлагать,рекомендовать,подразумевать,намекать,советовать
conseiller,советовать,консультировать,рекомендовать,предлагать,предупреждать,руководить
recommander,рекомендовать,советовать,предлагать,хвалить,поддерживать,предписывать
avertir,предупреждать,предупреждать,уведомлять,предупреждать,информировать,советовать
informer,информировать,уведомлять,говорить,советовать,просвещать,знакомить
expliquer,объяснять,прояснять,объяснять,интерпретировать,разъяснять,описывать
décrire,описывать,изображать,портретировать,очерчивать,характеризовать,рассказывать
raconter,рассказывать,повествовать,рассказывать,пересказывать,описывать,сообщать
montrer,показывать,отображать,демонстрировать,указывать,доказывать,выставлять
cacher,прятать,скрывать,покрывать,держать в секрете,маскировать,укрывать
révéler,раскрывать,разглашать,раскрывать,выставлять,показывать,предавать
découvrir,обнаруживать,узнавать,раскрывать,раскрывать,обнаруживать,изобретать
inventer,изобретать,придумывать,выдумывать,создавать,фабриковать,придумывать
imaginer,воображать,предполагать,фантазировать,визуализировать,придумывать,думать
rêver,мечтать,мечтать,воображать,желать,надеяться,фантазировать
réfléchir,размышлять,думать,размышлять,рассматривать,медитировать,созерцать
méditer,медитировать,размышлять,созерцать,размышлять,размышлять,думать
considérer,рассматривать,рассматривать,думать о,изучать,считать,смотреть
examiner,изучать,осматривать,исследовать,изучать,проверять,рецензировать
analyser,анализировать,изучать,изучать,разбирать,расчленять,оценивать
évaluer,оценивать,оценивать,оценивать,оценивать,оценивать,судить
estimer,оценивать,оценивать,оценивать,рассчитывать,ценить,ценить
contraster,контрастировать,различаться,выделяться,противопоставлять,сравнивать,подчёркивать
opposer,противопоставлять,контрастировать,противопоставлять,сопротивляться,возражать,противодействовать
s'opposer,противостоять,быть против,сопротивляться,возражать,противодействовать,бороться
résister,сопротивляться,выдерживать,противостоять,выдерживать,держаться,противиться
céder,уступать,сдаваться,сдаваться,уступать,поддаваться,уступать
abandonner,покидать,отказываться,бросать,покидать,покидать,отказываться
laisser,позволять,оставлять,позволять,позволять,покидать,бросать
empêcher,предотвращать,останавливать,препятствовать,блокировать,мешать,предотвращать
fuir,бежать,убегать,убегать,избегать,избегать,течь
échapper,убегать,избегать,избегать,ускользать,убегать,пропускать
sauver,спасать,спасать,сохранять,защищать,щадить,освобождать
vaincre,побеждать,преодолевать,завоёвывать,побеждать,покорять,преодолевать
triompher,торжествовать,преобладать,успевать,побеждать,преодолевать,ликовать
célébrer,праздновать,отмечать,наблюдать,почитать,хвалить,радоваться
fêter,праздновать,вечеринка,пировать,отмечать,радоваться,почитать
