jeune,صغير,زوين,جديد,قاصري,ما ناضجش,طري
tu as vu,شفتي,شفت,شايف,غادي تشوف,راك شفتي,كنتم شفتو
vous êtes,نتوما,كاتكونو,نتي,انتوما,نتوما كاتبقاو,نتوما كاتعيشو
tu as,عندك,كاتملك,نتي عندك,عندك انت,نتا عندك,كيتوفر
je,انا,آنا,أنا,نّا,أناوي,آني
déjà,دابا,الآن,تو,حالين,ديجا,سبق
hier il faisait froid,البارح كان بارد,البارح كان قارس,البارح كان شتا,البارح كان صقيع,البارح كان جليد,البارح كان قرص
non,لا,مابغيتش,موش,ماشي,لاا,مابغاش
cour,محكمة,ساحة,دار المخزن,بلاصة القضاء,ساحة الدار,حوش
faux,غلط,ماصحيش,كاذب,مزيور,باطل,ما والو
valeur,قيمة,ثمن,مزية,أهمية,وزن,سعر
arbre,شجرة,خشب,نبات,غابة,غصن,ورقة
dame,سيدة,مرا,مدام,دام,نبيلة,آنسة
l'homme,راجل,مرا,واحد,طفل,صاحب,بالغ
embrouiller,خلط,لبس,دمج,جمع,ربط,عقد
Je me suis embrouillé,تلخبطت,اعترفت,غلطت,خلصت,قررت,فرحت
avec,مع,بلاش,ل,من,ب,علاش
sans,بلا,مع,ل,من,ب,علاش
le désir,رغبة,بغية,شوق,لهفة,عشق,نزوة
l'envie,بغية,رغبة,نزوة,لهفة,شوق,حسد
la neige,ثلج,شتا,برد,جليد,بيض,ندفة
bière,بيرة,خمرة,كحول,مشروب,ويسكي,شمبانيا
le café,قهوة,خمر,عصير,حليب,ما,شاي
air,هواء,ريح,سما,أوكسجين,نفس,غاز
victoire,نتصار,ربح,تفوق,نجاح,غنيمة,إنجاز
qui est-ce,شكون هادا,شكون هاكاك,شنو هادا,فين هو,كيفاش هو,متى هو
où est la salle de bain,فين الطواليت,فين المراحيض,فين الكوزينة,فين البيت,فين الصالون,فين البيرو
où sont les toilettes,فين الطواليت,فين المراحيض,فين المحطة,فين الطوبيسي,فين المطعم,فين الحانوت
d'où viens-tu,منين جاي,فين ساكن,فين غادي,كيفاش حالك,شنو هادا,شكون نتا
comment,كيفاش,فين,متى,علاش,شكون,شنو
pourquoi,علاش,فين,متى,كيفاش,شكون,شنو
quand,متى,فين,علاش,كيفاش,شكون,شنو
qui,شكون,فين,متى,علاش,كيفاش,شنو
quoi,شنو,فين,متى,علاش,كيفاش,شكون
où,فين,متى,علاش,كيفاش,شكون,شنو
le pneu,كاعو,عجلة,طوموبيل,مركبة,كاوتشو,مثقوب
tu veux quoi,شنو بغيتي,شنو كتفكر,شنو محتاج,كيفاش حالك,فين نتا,شكون نتا
à quelle heure,شحال الساعة,شحال الوقت,متى,شحال المدة,فين,علاش
quel âge as-tu,شحال عمرك,شنو سميتك,فين ساكن,كيفاش حالك,شحال الساعة,منين جاي
qu'est-ce que c'est,شنو هادا,شنو هاكاك,شنو هيا,شكون هادا,فين هيا,بشحال هادا
mal,خايبة/غلط,مزيان,كوينة,واخة,لاباس,زين
le mois,شهر,سيمانة,نهار,عام,وقت,مدة
mariage,جواج,عرس,زواج,اتحاد,عائلي,حفل
le temps,وقت,طقس,ساعة,نهار,لحظة,مدة
l'usure,هلاك,تآكل,تقادم,تدهور,انخفاض,تلف
riche,غني,ثري,ميسور,واحد عندو,فاخر,مرفه
nous sommes allés,مشينا,سافرنا,غادين,مشيت,مشاو,مشيتو
nous avons mangé,كلنا,تغدينا,غادين ناكلو,كلت,كلو,كلتو
ils vont au cinéma,غادين للسينيما,غادين للسينيما,غادين للسينيما,غادي للسينيما,غادة للسينيما,غاادي للسينيما
nous mangeons au restaurant,كاناكلو فالريسطو,كاناكلو بجوج,كاناكلو فالدار,كاناكل فالريسطو,كاناكلو فالريسطو,كاناكل فالريسطو
nous allons à l'école,كانمشيو للمدرسة,غانمشيو للمدرسة,كانمشي للمدرسة,كانمشيو للمدرسة,كانمشيو للمدرسة,كانتمشيو للمدرسة
nous avons,عندنا,كنكونو,كانديرو,كانمشيو,كانبغيو,كانفكرو
vous,نتوما,حنا,هما,انا,هو,علاش
la direction,جهة,طريق,توجيه,إدارة,تعليمات,اتجاه
la route,طريق,سكة,طريق,طريق سريع,مسلك,شارع
la chaleur,سخونية,دفء,حرارة,حار,نار,صيف
chaud,سخون,دافي,محما,حراق,محروق,عاطفي
guerre,حرب,قتال,صراع,معارك,عداوات,خصام
réveil,فيّاقة,صحوة,فيق,منبه,إيقاظ,نشوط
pari,رهان,مقامرة,حظ,مخاطرة,أودز,تكهن
rêve,حلم,رؤية,خيال,كابوس,طموح,مثال
navire,سفينة,مركب,قارب,باخرة,بوخرة,باخرة
la voiture,طوموبيل,مركبة,كاميون,دراجة,قطار,باص
les fruits,فواكه,خضرة,لحم,حوت,جبن,خبز
la carotte,خيزو,خضرة,برتقال,جدر,صحي,ني
la pomme de terre,بطاطا,خضرة,درنة,نشوية,مقلية,مسلوقة
la tomate,طماطم,خضرة,حمر,فواكه,صلصة,سلطة
coffre-fort,خزينة,خزينة,صندوق أمان,صندوق آمن,صندوق مقفل,خزينة كنز
vide,خاوي,فارغ,ماكاين,مجوف,قفر,مشغولش
américain,أمريكي,مواطن أمريكي,يانكي,أمريكا,داخلي,شخص أمريكي
nous,حنا,علاش,هما,نتوما,انا,هو
ouvert,محلول,مفتوح,متاح,متوفر,صريح,ظاهر
l'école,مدرسة,جامعة,قسم,درس,أستاذ,تلميذ
impossible,مايمكنش,مايتعملش,مايتحققش,مايتخيلش,ماكاينش,سخيف
oncle,عم,عم,قريب,زوج العمة,خو الواليد,عمي
la laideur,قبح,دمامة,قذارة,نفور,فظاعة,وحشية
laid,قبيح,دميم,قذر,مشين,منفر,فظيع
tour,جولة,دورة,لفة,حيلة,دوران,لف
confiance,ثقة,أمان,إيمان,يقين,اعتماد,تأكيد
sans importance,ماهمش,تافه,صغير,مايعنيش,مهمل,مايلزمش
le trajet,سفر,رحلة,طريق,سفر,مرور,تنقل
la paix,سلام,طمأنينة,هدوء,وئام,اتفاق,سكينة
l'entraînement,تمرين,تدريب,رياضة,ممارسة,جلسة,مدرب
la ville,مدينة,مدينة,دوار,بلاصة,عاصمة,منطقة
tendre,حنين,قاصح,قاصح,طري,خشن,لطيف
assez,بزاف/شوية,بزاف بزاف,بزاف,هكاك,قليل,بزاف
très,بزاف,بزاف,هكاك,شوية,أكثر,بزاف
la langue,لغة,لسان,كلام,لهجة,لهجة,كلمة
demain il va pleuvoir,غدا غادي يطيح المطر,غدا غادي يكون صافي,غدا غادي يكون حار,غدا غادي يكون بارد,غدا غادي يطيح الثلج,غدا غادي يكون ريح
salle de bain,بيت الما,طواليت,دوش,بيت الما,بيت الما,طواليت
aujourd'hui il fait chaud,اليوم حار,اليوم بارد,اليوم زوين,اليوم كاطيح,اليوم صافي,اليوم فيه ريح
à la vôtre,بالصحة,بالصحة,بالهنا,شكرا,مرحبا,بالسلامة
composer une chanson,تأليف أغنية,كتابة موسيقى,خلق لحن,عمل لحن,اختراع كلمات,بناء تراك
marcher,تمشى,تخدم,تخدم,تخطي,تمشي,تمشي
résister à la tentation,تقاوم الإغراء,تصمد للإغراء,تعارض الإغراء,تتحمل الإغراء,تصمد للإغراء,تتحدى الإغراء
résister,تقاوم,تصمد,تعارض,تتحمل,تصمد,تتحدى
pleurer,تبكي,تبكي,تنوح,تنحب,تندب,تشكي
mettre un chapeau,تحط قبعة,تلبس غطاء الراس,تلبس قبعة,تحط غطاء,تحط إكسسوار,تغطي الراس
prendre une douche,تاخد دوش,تغسل الجسد,تاخد دوش,تنقي راسك,تنعش بالما,تغتسل بسرعة
falloir,يلزم,يبغي,يحتاج,يجب,يكون,يديرو
pouvoir,يقدر,يبغي,يعرف,يكون,يمشي,يديرو
suivre un chemin,تبع طريق,تمشي طريق,تتبع طريق,تتبع مسار,تمشي على,تكمل طريق
risquer sa vie,تخاطر بحياتك,تغامر بالوجود,تخاطر بالكون,تعرض راسك,تخاطر بالشخص,تقامر بالجسد
risquer,تخاطر,تغامر,تخاطر,تعرض,تخاطر,تقامر
estimer la valeur,تقدر القيمة,تقيم القيمة,تحكم على الثمن,تحسب التكلفة,تقدر المبلغ,تثمن المجموع
estimer,تقدر,تقيم,تحكم,تحسب,تقدر,تثمن
encourager un enfant,تشجع طفل,تحفز الولد,تدعم الشباب,تلهم الصغير,تحفز الصغير,تشجع الصغير
encourager,تشجع,تحفز,تدعم,تلهم,تحفز,تشجع
ouvrir,تحل,تحل,تبدا,تفتح,تكشف,تدشن
compter les moutons,تعد الخرفان,تحاول تنعس,تستعمل حيلة للنوم,تخيل الحيوانات,ترخي البال,تحضر للراحة
juger une situation,تحكم على وضعية,تحاول الظروف,تعتبر الحالة,تأخذ السياق,تقدر المشهد,تقرر الحالة
goûter,تذوق,تجرب,تتذوق,تستمتع,تحس,تستمتع
juger,تحكم,تحاول,تعتبر,تأخذ,تقدر,تقرر
réfléchir avant d'agir,تفكر قبل ما تديري,تفكر قبل الخطوة,تتأمل قبل الفعل,تعتبر قبل ما تديري,تتفكر قبل الإجراء,تتأمل قبل الخطوة
croire,تؤمن,تفكر,تثق,تفترض,تصدق,تقبل
réfléchir,تفكر,تفكر,تتأمل,تعتبر,تتفكر,تتأمل
dire,تقول,تحكي,تسول,تديري,تصاوب,تهضر
dire,تقول,تحكي,تهضر,تعلن,تصرح,تذكر
apprendre,تعلم,تعلم,تسمع,تكتشف,تحفظ,تقرا
parler,تهضر,تهضر,تقول,تحكي,تسول,تصوني
emprunter un livre,تستعير كتاب,تاخد المجلد,تنسخ النص,تقلد القصة,تتبنى الحكاية,تفترض السرد
enlever une veste,تنزع جاكيت,تنزع المعطف,تنزع الطبقة,ترمي اللباس,تنقي الثوب,تتخلص من الخارجي
se déshabiller,تنعر,تنزع الحوايج,تنزع اللباس,تنعر,تنعر,تحضر للنعاس
enlever,تنزع,تنزع,تاخد,تخطف,تنزع,تنقي
ramener un ami,تجيب صاحب,ترجع الرفيق,تقلل البودي,تقود الرفيق,ترجع البال,تتذكر الميت
ramener,تجيب,ترجع,تقلل,ترجع,ترجع,تتذكر
donner,تعطي,تاخد,تجيب,تصاوب,تديري,تقول
emprunter,تستعير,تاخد,تنسخ,تقلد,تتبنى,تفترض
soutenir une idée,تدعم فكرة,تستمر في الفكر,تدعم المفهوم,ت uphold الفكرة,تحافظ على الخطة,تتحمل الاقتراح
soutenir,تدعم,تستمر,تدعم,ت uphold,تحافظ,تتحمل
imaginer un monde,تخيل عالم,تفترض مملكة,تتخيل كون,تتصور كوكب,تتخيل مجال,تفكر في المجال
imaginer,تخيل,تفترض,تتخيل,تتصور,تتخيل,تفكر
réussir son examen,تنجح فالامتحان,تنجح فالامتحان,تديري مزيان فالامتحان,تفشل فالامتحان,تربح اللعبة,تحقق الهدف
se coiffer,تسرح شعرك,تصاوب شعرك,تمشط,تفرشي شعرك,ترتب التسريحة,تصلح اللوك
apprendre une langue,تعلم لغة,تقرا لغة,تمارس الكلمات,تتقن اللسان,تكتسب الكلام,تحسن التواصل
marcher dans la ville,تمشي فالمدينة,تجول فالبلدة,تستكشف الشوارع,تتجول فالمنطقة الحضرية,تمشي على رجليك,تكتشف المدينة
empêcher un accident,تمنع حادث,توقف mishap,تعوق crash,تحجب incident,تعوق event,تتجنب الكارثة
empêcher,تمنع,توقف,تعوق,تحجب,تعوق,تتجنب
voler,تطير,تسرق,تسرق,تحلق,تنزلق,تسرق
diviser le gâteau,تقسم الكعكة,تقسم الحلوة,تشارك الحلاوة,تقطع الحصة,توزع المعاملة,تفصل القطعة
diviser,تقسم,تقسم,تشارك,تفصل,توزع,تصنف
prendre un bain,تاخد حمام,تنقع فالحوض,ترخي فالماء,تغتسل ببطء,تستمتع بالما السخون,ترتاح
pleuvoir,يطيح المطر,يطيح الثلج,يعصف,يصب,يرذاذ,يطيح
rire,تضحك,تبتسم,تمزح,تسخر,تقهقه,تضحك
sentir,تحس,تشتم,تحس,تحس,تحس,تحس
casser un verre,تكسر كاس,تحطم كاس,تحطم الشيء,تشقق الشيء,تدمر الحاوية,تفصل المادة
casser,تكسر,تحطم,تنكس,تنفجر,تفشل,تخرب
couper un fruit,تقطع فاكهة,تشرط المنتج,تفرمي الماكلة,تقسم الشيء,تحضر الوجبة,تقسم للأكل
couper,تقطع,تشرط,تقلم,تفرمي,تقطع,تقلل
se coucher tard,تنعس متأخر,تنعس متأخر,تسهر متأخر,تتقاعد متأخر,تدخل متأخر,ترتاح متأخر
dessiner,ترسم,ترسم,تصمم,ترسم مخطط,تصور,تخطط
fermer,تسد,تسد,تقفل,تختم,تختم,تختم
pousser une porte,تدفع باب,تدفع المدخل,تضغط اللوحة,تحل بالقوة,تحرك الحاجز,تقدم الولوج
pousser,تدفع,تدفع,تحث,تروج,تنمو,تشجع
bouger,تحرك,تحرك,تحرك,تحرك,تبدل,تمشي
payer une facture,تخلص فاتورة,تسوي فاتورة,تكافئ الحساب,تعاني من التهمة,تدفع التكلفة,تعوض الدين
payer,تخلص,تسوي,تكافئ,تعاني,تدفع,تعوض
acheter,تشري,تبيع,تاخد,تجيب,تكون,تعطي
choisir,تختار,تختار,تختار,تقرر,تنتخب,تختار
visiter un musée,تزور متحف,تشوف معرض,تستكشف جاليري,تشوف الفن,تكتشف التاريخ,تمشي فالمجموعة
regarder un film,تشوف فيلم,تشوف فيلم,تشوف فيلم,تستمتع بالسينما,تشوف الشاشة,تتبع القصة
lire,تقرا,تشوف,تكتب,تقرا,تعلم,تهضر
chercher,تقلب,تقلب,تقلب,تصطاد,تحاول,تفحص
saluer un voisin,تسلم على الجار,تسلم على المحلي,تلوح للمقيم,تحيا القريب,تخاطب القريب,ترحب بالمجاور
saluer,تسلم,تسلم,تلوح,تحيا,تخاطب,ترحب
tourner,تدور,تدور,تدور,تلوي,تبدل,تصور
se lever tôt,تفيق باكرا,تفيق باكرا,تفيق باكرا,تبدا النهار باكرا,تخلي السرير باكرا,تبدا الصباح باكرا
critiquer un film,تنتقد فيلم,تراجع السينما,تنتقد الصورة,تحكم على الفيلم,تنتقد الشاشة,تعلق على الإنتاج
critiquer,تنتقد,تراجع,تنتقد,تحكم,تنتقد,تعلق
garder,تحفظ,تحفظ,تحمل,تحفظ,تحافظ,تحافظ
limiter,تحدد,تقيد,تحدد,تحصر,تقلل,تحدد
dormir,تنعس,ترتاح,ترقد,تبقى,تمشي,تفيق
sauver une vie,تنقذ حياة,تنقذ كائن,تحافظ على الوجود,تحمي الروح,توفر الشخص,تسلم الفرد
sauver,تنقذ,تنقذ,تحافظ,تحمي,توفر,تسلم
demander,تسول,تطلب,تستفسر,تطلب,تتطلب,تتوسل
donner une réponse,تعطي جواب,تجاوب,تستجيب,تعطي حل,تشرح,توضح
répondre,تجاوب,تجاوب,تستجيب,تتفاعل,تتطابق,تتطابق
louer,تمدح,تكري,تكري,تمدح,تمدح,تمدح
rester,تبقى,تبقى,تحفظ,تكون,تعيش,تنتضر
compter,تحسب,تعتمد,تعتمد,تهم,تحسب,تحسب
refuser une offre,ترفض عرض,ترفض اقتراح,ترفض اقتراح,تنكر فرصة,ترفض فرصة,ترفض إمكانية
refuser,ترفض,ترفض,ترفض,تنكر,ترفض,ترفض
considérer toutes options,تعتبر جميع الخيارات,تنظر لكل خيار,تفكر فكل,تفحص كل,تعتبر كل,تشوف كل
considérer,تعتبر,تنظر,تفكر,تفحص,تعتبر,تشوف
accepter une invitation,تقبل دعوة,تستقبل دعوة,توافق على الاتصال,تقبل الطلب,ترحب بالاقتراح,توافق على العرض
accepter,تقبل,تستقبل,توافق,تقبل,ترحب,توافق
se rappeler un nom,تتذكر سميه,تتذكر الشخص,تفكر فالعنوان,ترجع للذاكرة,تحفظ فبالك,ما تنساش
se souvenir,تتذكر,تتذكر,تحفظ فبالك,تحفظ,تتذكر,تحفظ
écrire,تكتب,تقرا,تقول,تحكي,تقرا,تعلم
lever,ترفع,ترفع,تفيق,ترفع,تحمل,تاخد
courir,تجري,تسابق,تعجل,تتدفق,تدير,تشتغل
quitter,تغادر,تغادر,تهجر,تغادر,تتنازل,تسقط
douter de tout,تشك فكلشي,تسول على كلشي,تشتبه فكلشي,تتردد فكلشي,تعدم الثقة فكلشي,تتأرجح فكلشي
douter,تشك,تسول,تشتبه,تتردد,تعدم الثقة,تتأرجح
s'habiller,تلبس,تلبس الحوايج,تلبس اللباس,تكسي راسك,تختار الحوايج,تحضر اللوك
suivre,تتبع,تتبع,تطيع,تتبع,تفهم,تكمل
défendre son opinion,تدفع على رايك,تحمي وجهة نظرك,ت uphold معتقدك,تمنع العكس,تمنع العكس,تدعم الموقف
défendre,تدفع,تحمي,ت uphold,تمنع,تمنع,تدعم
suggérer une idée,تقترح فكرة,تقترح فكر,توصي بفكرة,تلمح لمفهوم,تلمح لخطة,تنصح بخطة
suggérer,تقترح,تقترح,توصي,تلمح,تلمح,تنصح
interdire l'accès,تمنع الولوج,تمنع الدخول,تحظر المدخل,تمنع القبول,تمنع المرور,تمنع الطريقة
interdire,تمنع,تمنع,تحظر,تمنع,تمنع,تمنع
triompher des obstacles,تنتصر على العوائق,تتغلب على الحواجز,تنجح فالتحديات,تربح الصعوبات,تتغلب على التحديات,تنتصر على العوائق
triompher,تنتصر,تتغلب,تنجح,تربح,تتغلب,تنتصر
méditer en silence,تتأمل فالسكوت,تتفكر بهدوء,تتأمل فالسكون,تتفكر فالهدوء,تتفكر فالهدوء,تفكر فالسلام
méditer,تتأمل,تتفكر,تتأمل,تتفكر,تتفكر,تفكر
faire du sport,تديري رياضة,تلعب رياضة,تتمرن,تتدرب,تتمرن,تحرك الجسد
organiser une fête,تنظم حفلة,تخطط للاحتفال,ترمي حفلة,ترتب الحدث,تستضيف التجمع,تحضر المرح
mettre,تحط,تحط,تحط,تلبس,تحط,تحط
poser,تحط,تحط,تحط,تسول,تحط,تحط
convaincre un ami,تقنع صاحب,تقنع البودي,تربح البال,ترضي الرفيق,تؤكد الميت,تثبت الميت
convaincre,تقنع,تقنع,تربح,ترضي,تؤكد,تثبت
permettre l'entrée,تسمح بالدخول,تسمح بالولوج,تمكن المدخل,تأذن بالقبول,تخلي تدخل,تمنح المرور
permettre,تسمح,تسمح,تمكن,تأذن,تخلي,تمنح
fêter un anniversaire,تحتفل بعيد الميلاد,تحتفل بالذكرى,تحتفل بالعيد,تعلم العام,تفرح بالتاريخ,تكرم الميلاد
fêter,تحتفل,تحتفل,تحتفل,تعلم,تفرح,تكرم
oublier,تنسى,تنسى,تهمل,تخلي وراك,تتجاهل,تفوت
vaincre ses peurs,تهزم مخاوفك,تتغلب على القلق,تنتصر على الرعب,تهزم الهموم,تنتصر على الخوف,تتغلب على الرعب
vaincre,تهزم,تتغلب,تنتصر,تهزم,تنتصر,تتغلب
compter les étoiles,تحسب النجوم,تحسب السماوية,تحسب الأضواء,تحسب السما,تعتمد على الكون,تهم السماوي
informer les gens,تعلم الناس,تعلم الناس,تقول للناس,تنصح البشر,تنير الأفراد,تعرف الكائنات
informer,تعلم,تعلم,تقول,تنصح,تنير,تعرف
raconter une histoire,تحكي قصة,تحكي حكاية,تحكي قصة,تحكي حدث,توصف مغامرة,تبلغ حادثة
raconter,تحكي,تحكي,تحكي,تحكي,توصف,تبلغ
danser sur une chanson,ترقص على أغنية,تحرك على الموسيقى,تجروف,تتأرجح على الإيقاع,تستمتع بالإيقاع,تحفل بالرقص
danser,ترقص,تحرك,تؤدي,تتأرجح,تحتفل,تحفل
perdre,تخسر,تضيع,تهدر,تتنازل,تفشل,تسقط
rejoindre un groupe,تنضم لمجموعة,تلتقي بالفريق,تلحق بالآخرين,تصل للحشد,تتحد مع,تجمع القوى
connaître,تعرف,تلتقي,تعرف,تعلم,تفهم,تتذكر
rejoindre,تنضم,تلتقي,تلحق,تصل,تتحد,تجمع
créer un dessin,تصنع رسم,تصنع رسم,تنتج رسم,تصمم صورة,تشكل صورة,تصنع فن
avoir tort,تكون غالط,تغلط,تغلط,تكون غلط,تخسر الحجة,تفهم غلط
aimer,تعجب,تحب,تبغي,تعرف,تشوف,تكون
perdre son temps,تهدر وقتك,تخسر الدقايق,تصرف بلا فائدة,تكسل,تهدر الساعات,ما تديري والو
regarder,تشوف,تشوف,تشوف,تسمع,تلقا,تعرف
sembler,تبان,تبان,تبان,تكون,تحس,تبان
voir,تشوف,تشوف,تشوف,تعرف,تلقا,تفهم
prêter attention,تعطي انتباه,تعطي تركيز,تعطي بال,تعطي عناية,تعطي انتباه,تعطي تركيز
prêter,تعطي,تعطي,تعطي,تعطي,تعطي,تعطي
préférer,تفضل,تحب أكثر,تفضل,تختار,تختار,تميل
lever la main,ترفع يدك,ترفع دراعك,تحط كفك,تعلم,تبين,تبين الحضور
laisser une chance,تخلي فرصة,تخلي فرصة,تسمح بإمكانيه,تسمح بالحظ,تهجر الحظ,تترك الاحتمال
oublier quelque chose,تنسى حاجة,تخلي وراك,تفوت الشيء,تتجاهل,ما تتذكرش,تفقد التتبع
laisser,تخلي,تخلي,تسمح,تسمح,تهجر,تترك
étudier,تقرا,تعلم,تقرا,تخدم,تعرف,تشوف
sauter,تقافز,تقافز,تتخطا,تقافز,ترتد,تتخطا
précéder quelqu'un,تمشي قبل واحد,تقود الشخص,تمشي قدام,تتوقع الوصول,تقدم,تقدم الأول
lancer,ترمي,تطلق,تبدا,ترمي,ترمي,تبدا
continuer,تكمل,تكمل,تكمل,تكمل,تستمر,تمشي
présenter son projet,تقدم مشروعك,تقدم خطة,تبين فكرة,تعرض مفهوم,تقدم اقتراح,تقترح خطة
présenter,تقدم,تقدم,تبين,تعرض,تقدم,تقترح
présenter,تقدم,تقدم,تبين,تعرض,تقدم,تقترح
