jeune,صغير,زوين,جديد,قاصري,ما ناضجش,طري
examiner un document,تفحص وثيقة,تفحص ورقة,تتحقق من ملف,تقرا سجل,تفحص نص,تراجع كتابة
examiner,تفحص,تفحص,تتحقق,تقرا,تفحص,تراجع
poser une question,تسول سؤال,تستفسر,تطرح سؤال,تطلب معلومات,تتسول,تطلب جواب
multiplier les efforts,تضاعف الجهود,تزيد المحاولات,تعزز الخدامه,تعزز المحاولات,تضخم الطاقة,تعظم المحاولات
multiplier,تضاعف,تزيد,تتكاثر,تنتشر,تعزز,تعظم
ajouter du sel,تزيد الملح,تدخل التوابل,تحط التوابل,تكمل النكهة,تعزز الطعم,تربط التوابل
ajouter,تزيد,تدخل,تضيف,تساهم,تكمل,تربط
rêver de voyage,تحلم بالسفر,تتخيل الرحلة,تتخيل الرحلة,تبغي مغامرة,تتصور بلايص بعيدين,تاملي الاستكشاف
chanter sous la douche,تغني فالدوش,تغني وانت كتغسل,تغني فالحمام,تؤدي تحت الما,تصوت وانت كت清理,تستمتع بصوتك
porter un sac,تحمل كيس,تحمل أمتعة,تحمل حمل,تنقل الشيء,تجيب حاوية,تدعم الوزن
louer une voiture,تكري طوموبيل,تكري مركبة,تمدح الطوموبيل,تمدح النقل,تمدح الطوموبيل,تمدح الماكينة
servir,تخدم,تساعد,تستعمل,تخدم,تاكل,تشرب
écouter de la musique,تسمع موسيقى,تسمع أغاني,تشغل موسيقى,تستمتع بألحان,تكون ساوندتراك,تضبط على
écouter un podcast,تسمع بودكاست,تسمع عرض صوتي,تتبع حلقة,تستمتع بحديث,تمتص المحتوى,تضبط على نقاش
écouter,تسمع,تسمع,تهضر,تهضر,تقول,تحكي
devoir,يجب,يجب,يجب,واجب,اختبار,التزام
avoir de la chance,تكون محظوظ,تكون عندك حظ,تجيب حظ,تربح أودز,تستفيد من الحظ,تنجح بلا توقع
tenir,تحمل/تحفظ,تكون,تاخد,تعطي,تحط,تبقى
être,تكون,تكون,تديري,تمشي,تشوف,تعرف
arrêter,توقف,توقف,توقف,تغادر,تعتقل,تمنع
protéger un secret,تحمي سر,تحرس لغز,تدفع مخفي,تحمي سري,تحافظ على خاص,تحمي غير معلن
protéger,تحمي,تحرس,تدفع,تحمي,تحافظ,تحمي
sourire,تبتسم,تبتسم,تبتسم,تبان فرحان,تفرح,تعبر عن فرح
comprendre le problème,تفهم المشكل,تفهم القضية,تشوف الصعوبة,تدرك التحدي,تفهم الوضعية,تحل المشكل
attraper un ballon,تلتقط كورة,تقبض كرة,تمسك الشيء,تحمل لعبة,تستقبل رمية,تؤمن الشيء
attraper,تلتقط,تقبض,تمسك,تصيد,تجيب,تفهم
accompagner un ami,ترافق صاحب,تمشي مع البودي,ترافق الرفيق,تحضر الشخص,تنضم معا,تمشي جنب
accompagner,ترافق,تمشي مع,ترافق,تحضر,تكمل,تطابق
faire les courses,تديري الشرا,تمشي للشرا,تشري الماكلة,تشري الماكلة,تديري المهمات,تشري حوايج
entrer,تدخل,تدخل,تدخل,تنضم,تحط,تبدا
faire une promenade,تمشي مشية,تمشي مشية,تجول,تتجول,تمشي,تمشي
voyager en train,تسافر بالقطار,تمشي بالسكة,تركب القطار,تسافر على السكة,تاخد لوكوموتيف,تمشي بالسكة الحديدية
précéder,تسبق,تمشي قبل,تقود,تتوقع,تسبق,تقدم
retourner,ترجع,ترجع,تقلب,تقلب,ترجع,ترجع
faire,تديري/تصاوب,تمشي,تكون,تكون,تقول,تشوف
passer,تعدّي/تقضي وقت,تمشي,تمشي,توقع,تعبر,تفوت
venir,تجي,تمشي,توصل,ترجع,تغادر,تدخل
coller une photo,تلصق صورة,تلصق صورة,تلصق صورة,تلصق مرئي,تصلح ذاكرة,تركب طباعة
coller,تلصق,تلصق,تلصق,تلتصق,تلصق,تنشر
abandonner un rêve,تهجر حلم,تخلي الأمل,تترك الرؤية,تهجر الخيال,تتخلى عن الوهم,تتنازل عن الرغبة
abandonner,تهجر,تخلي,تترك,تهجر,تتخلى,تتنازل
offrir un cadeau,تعطي هدية,تعطي هدية,تعطي مفاجأة,تعطي هدية,تقترح شيء,تتطوع بفرح
céder à la pression,تستسلم للضغط,تستسلم للضغط,تستسلم للقوة,تتنازل للدفع,تستسلم للوزن,تخلي الطريق
céder,تستسلم,تستسلم,تستسلم,تتنازل,تستسلم,تخلي
offrir,تعطي,تعطي,تعطي,تعطي,تقترح,تتطوع
perdre patience,تفقد الصبر,تصبرش,تتعصب,تنتضر بزاف,تعصب,تخلي
prendre,تاخد,تجيب,تجيب,تصاوب,تديري,تعطي
recevoir,تستقبل,تجيب,تقبل,ترحب,تحصل,تستضيف
regarder les étoiles,تشوف النجوم,تشوف السما,تشوف الليل,تعجب بالكون,تشوف لفوق,تستمتع بالسماوي
mesurer la distance,تقيس المسافة,تقيس الطول,تقيم المدى,تقيس الفجوة,تقيس الفترة,تقيم الفصل
mesurer,تقيس,تقيس,تقيم,تقيس,تقيس,تقيم
réunir la famille,تجمع العائلة,تجمع الأقارب,تجمع العائلة,تجمع معا,تجمع الأحباب,تجمع العائلة
réunir,تجمع,تجمع,تجمع,تنضم,تجمع,تجمع
gagner du temps,تربح وقت,تربح دقايق,تستعمل بكفاءة,تسرع,تحسن,تعجل
excuser son retard,تعذر على التأخير,تغفر التأخير,تسامح على التأخير,تعتذر على التأخير,تبرر البطء,تعفي البطء
excuser,تعذر,تغفر,تسامح,تعتذر,تبرر,تعفي
obliger quelqu'un,تجبر واحد,تجبر شخص,تجبر فرد,تتطلب إنسان,تربط كائن,تقيد روح
obliger,تجبر,تجبر,تجبر,تتطلب,تربط,تقيد
tourner la page,تقلب الصفحة,تقلب الورقة,تبدل الفصل,تمشي قدام,تقدم القصة,تكمل القراية
réparer une voiture,تصلح طوموبيل,تصلح مركبة,تصلح طوموبيل,تخدم الماكينة,ترجع النقل,تشفي الماكينة
réparer,تصلح,تصلح,تصلح,ترجع,تصلح,تشفي
découvrir un trésor,تكتشف كنز,تكتشف ثروة,تكشف ثروة,تكشف حظ,تكتشف قيمة,تخترع جوهرة
découvrir,تكتشف,تكتشف,تكشف,تكشف,تكتشف,تخترع
découvrir un nouveau lieu,تكتشف بلاصة جديدة,تلقا بلاصة جديدة,تستكشف مجهول,تجيب على موقع,تكشف موقع,تلقا مخفي
résoudre un puzzle,تحل لغز,تحل لغز,تكشف كود,تلقا حل,تكمل التحدي,تنجح فمهمة
avoir sommeil,تكون نعسان,تحس بالتعب,تحتاج النعاس,تبغي ترتاح,تكون نعسان,تتثاءب
avoir soif,تكون عطشان,تحس بالعطش,تحتاج تشرب,تبغي الما,تشرب السائل,تحس بالجفاف
avoir peur,تكون خايف,تحس بالخوف,تخاف,ترهب,تكون خايف,تذعر
se sentir mal,تحس بوالو,تحس بالمرض,تكون مريض,تكون عندك مزاج خايب,تعاني من عدم الراحة,تحس سلبي
avoir faim,تكون جيعان,تحس بالجوع,تبغي الماكلة,تحتاج تاكل,تكون عندك شهية,تشرب الماكلة
avoir chaud,تكون حار,تحس بالسخونية,تعرق,تحتاج تبرد,تسخن بزاف,تحرق
se sentir bien,تحس مزيان,تحس مزيان,تكون واخة,تحس إيجابي,تستمتع بالمزاج,تكون عندك نهار مزيان
avoir froid,تكون بارد,تحس بالبرد,ترعد,تحتاج الدفء,تتجمد,تتجمد
s'ennuyer,تمل,تمل,تتعب,تفقد الاهتمام,تتثاءب,تخمل
toucher,تلمس,تحس,تتصل,توصل,تأثر,تحرك
dépenser de l'argent,تصرف فلوس,تصرف كاش,تستهلك ثروة,تهدر حظ,تستعمل funds,تبدد موارد
dépenser,تصرف,تصرف,تستهلك,تهدر,تستعمل,تبدد
espérer le meilleur,تاملي الأحسن,تتوقع إيجابي,تبغي الخير,تتوقع الخير,تثق فمزيان,ترغب فمزيان
attendre,تنتضر,تتوقع,تنتضر,تتوقع,تصبر,تتوقف
espérer,تاملي,تتوقع,تبغي,تتوقع,تثق,ترغب
quitter la maison,تغادر الدار,تخرج من الدار,تغادر السكن,تمشي,تبدا,تهجر البلاصة
sortir,تخرج,تخرج,تغادر,تخرج,تجي,تبان
analyser les données,تحلل البيانات,تفحص المعلومات,تقرا الحقائق,تكسر الأرقام,تحلل الإحصائيات,تقيم الأرقام
analyser,تحلل,تفحص,تقرا,تكسر,تحلل,تقيم
éviter un danger,تتجنب خطر,تهرب من خطر,تمنع تهديد,تهرب من خطر,تتجنب خطر,تتجاوز مشكلة
éviter,تتجنب,تهرب,تمنع,تهرب,تتجنب,تتجاوز
fuir la réalité,تهرب من الواقع,تهرب من الحقيقة,تمشي من الحقيقة,تتجنب الحقيقي,تهرب من الحقيقي,تسرب الحقيقي
fuir,تهرب,تهرب,تمشي,تتجنب,تهرب,تسرب
lire un roman,تقرا رواية,تستمتع بكتاب,تتبع قصة,تدخل فخيال,تقلب الصفحات,تشارك فالأدب
finir,تكمل,تختم,تكمل,تختم,تختم,توقف
rencontrer un inconnu,تلتقي بواحد مجهول,تلتقي بمجهول,تلتقي بجديد,تواجه مجهول,تحس بجديد,تلقا جديد
rencontrer,تلتقي,تلتقي,تلتقي,تواجه,تحس,تلقا
économiser de l'énergie,توفر طاقة,توفر قوة,توفر قوة,تحافظ على قوة,تحافظ على حيوية,تخزن قوة
économiser,توفر,توفر,توفر,تحافظ,تحافظ,تخزن
prendre le petit déjeuner,تفطر,تاكل فطور الصباح,تاخد فطور,تفطر,تبدا النهار بالماكلة,تاكل فطور
boire,تشرب,تاكل,تاخد,تكون,تستهلك,تستمتع
baisser,تنزل,تنزل,تقلل,تقلل,تنحني,تقلل
tomber,تطيح,تطيح,تقلل,تفشل,تهبط,تعثر
tomber,تطيح,تطيح,تقلل,تفشل,تهبط,
manger,تاكل,تشرب,تاخد,تكون,تستهلك,تستمتع
craindre le pire,تخاف من الأسوأ,ترهب من السيء,تكون خايف من الرهيب,تقلق من الرهيب,تتوقع الرهيب,تشتبه فسلبي
craindre,تخاف,ترهب,تكون خايف,تقلق,تتوقع,تشتبه
tirer une corde,تشد حبل,تشد خط,تسحب خيط,تستخرج كابل,تسحب مادة,تنقل شيء
tirer,تشد,تشد,تطلق,تسحب,تستخرج,تطلق
laver la vaisselle,تغسل الصحون,تديري الصحون,تنقي الطباق,تشطف الأدوات,تتعامل مع أدوات المطبخ,تنقي الطابلة
travailler,تخدم,تديري,تصاوب,تقرا,تمشي,تعيش
partager un repas,تشارك وجبة,تقسم الماكلة,تقسم العشا,تشارك فالأكل,توزع الغدا,تتواصل فالطابلة
séparer deux amis,تفرق جوج أصحاب,تقسم الرفاق,تفرق الناس,تفصل الزوج,تفرق الثنائي,تعزل الأفراد
partager,تشارك,تقسم,تقسم,تشارك,توزع,تتواصل
séparer,تفرق,تقسم,تفرق,تفصل,تفرق,تعزل
montrer le chemin,تبين الطريق,تبين الطريق,تبين الطريق,تبين الاتجاه,تبين المسار,تبين المسار
montrer,تبين,تبين,تبين,تبين,تبين,تبين
décourager un projet,تثبط مشروع,تثبط خطة,تردع خطة,تكبت فكرة,تثني عن مفهوم,تخمد اقتراح
décourager,تثبط,تثبط,تردع,تكبت,تثني,تخمد
trouver,تلقا,تكتشف,تحدد,تجيب,تدرك,تفكر
révéler la vérité,تكشف الحقيقة,تكشف حقيقة,تكشف واقع,تكشف دقة,تبين صدق,تخون صحة
révéler,تكشف,تكشف,تكشف,تكشف,تبين,تخون
jeter un papier,ترمي ورقة,ترمي ورقة,ترمي زبالة,تتخلص من زبالة,تقضي على وثيقة,تتخلص من شيء
contraster deux styles,تقارن جوج ستايلات,تختلف الطرق,تبرز الطرق,تعارض الموضة,تقارن الأساليب,تبرز الاتجاهات
contraster,تقارن,تختلف,تبرز,تعارض,تقارن,تبرز
inventer une machine,تخترع ماكينة,تصنع جهاز,تصنع أداة,تصنع جهاز,تصنع آلية,تصنع محرك
inventer,تخترع,تصنع,تصنع,تصنع,تصنع,تصنع
détester,تبغض,تبغض,ما تحبش,تبغض,تبغض,تبغض
décider,تقرر,تحدد,تحل,تحسم,تحسم عقلك,تختم
valoir la peine,تستحق الجهد,تستحق الجهد,تستحق العناء,تساوي القيمة,تكون عمل صالح,تحمل معنى
valoir,تستحق,تستحق,تستحق,تساوي,تكون صالح,تحمل
descendre,تنزل,تنزل,تنزل,تقلل,تنزل,تطيح
décrire un paysage,توصف منظر,تصوّر مشهد,تصوّر منظر,ترسم مشهد,تصف منظر,تحكي بانوراما
décrire,توصف,تصوّر,تصوّر,ترسم,تصف,تحكي
peindre,ترسم,تصوّر,تصوّر,تطلي,تلون,توصف
partir,تغادر,تغادر,تمشي,تبدا,تخرج,تبدا
détruire,تدمر,تهدم,تخرب,تخرب,تكسر,تفني
rêver d'avenir,تحلم بالمستقبل,تحلم بالغد,تتخيل قدام,تبغي مستقبل,تاملي قدام,تتخيل التالي
rêver,تحلم,تحلم,تتخيل,تبغي,تاملي,تتخيل
faire du vélo,تركب دراجة,تركب دراجة,تركب دراجة,تدوس,تمشي بالدراجة,تستعمل دراجة
blâmer le retard,تلوم التأخير,تنتقد التأخير,تنتقد التأخير,تتهم البطء,تلوم التأخير,تدين الانتظار
blâmer,تلوم,تنتقد,تنتقد,تتهم,تلوم,تدين
conseiller un ami,تنصح صاحب,تنصح البودي,توصي بال,تقترح للرفيق,تحذر الميت,توجه الميت
conseiller,تنصح,تنصح,توصي,تقترح,تحذر,توجه
préparer le dîner,تحضر العشا,تطبخ وجبة المساء,تصاوب العشا,تحضر الماكلة,تصنع وجبة,تخطط للعشا
persuader le public,تقنع الجمهور,تقنع الجمهور,تحشد الحشد,تقنع الناس,تحث المجموعة,تؤثر على الحشد
persuader,تقنع,تقنع,تحشد,تقنع,تحث,تؤثر
opposer deux idées,تعارض جوج أفكار,تعارض الأفكار,تضع ضد المفاهيم,تقاوم المفاهيم,تعارض الخطط,تعارض المقترحات
comparer deux livres,تقارن جوج كتب,تقارن روايات,تشبه قصص,تطابق مجلدات,تساوي نصوص,توازي أعمال
comparer,تقارن,تقارن,تشبه,تطابق,تساوي,توازي
opposer,تعارض,تعارض,تضع ضد,تقاوم,تعارض,تعارض
construire une maison,تبني دار,تبني منزل,تبني بناء,تطور هيكل,تصنع سكن,تجمع بلاصة
construire,تبني,تبني,تصنع,تبني,تطور,تصنع
peser,تقيس,تفكر,تتأمل,توازن,تقيم,تقيس
environ,تقريبا,حتى,بينما,ل,قبل,بعد
en raison de,بسبب,علاش,شنو,لشنو,سبب,
près de,قريب,حول,ل,باوند دي,بينما دي,حتى
cacher un secret,تخبي سر,تخفي لغز,تغطي مخفي,تحافظ على سري,تخفي خاص,تحمي غير معلن
cacher,تخبي,تخفي,تغطي,تحافظ سر,تخفي,تحمي
calculer le total,تحسب المجموع,تحسب المجموع,تحسب المبلغ,تحسب الكل,تقدر كامل,تحسب كلشي
calculer,تحسب,تحسب,تحسب,تحسب,تقدر,تحسب
comprendre,تفهم,تفهم,تفهم,تدرك,تشمل,تغطي
féliciter pour la victoire,تهنئ على النتصار,تمدح الربح,تمدح النجاح,تصفق للانتصار,تحتفل بالإنجاز,تبغي الخير
féliciter,تهنئ,تمدح,تمدح,تصفق,تحتفل,تبغي
forcer une serrure,تجبر قفل,تجبر آلية,تكسر إغلاق,تجهد مثبت,تدفع حاجز,تدفع فتح
forcer,تجبر,تجبر,تكسر,تجهد,تدفع,تدفع
investir dans l'avenir,تستثمر فالمستقبل,تلتزم بالغد,تكرس للتالي,تصرف على قدام,تحط فالتالي,تراهن على مستقبل
investir,تستثمر,تلتزم,تكرس,تصرف,تحط,تراهن
célébrer une victoire,تحتفل بنتصار,تحتفل بربح,تلاحظ انتصار,تكرم نجاح,تمدح إنجاز,تفرح بغنيمة
célébrer,تحتفل,تحتفل,تلاحظ,تكرم,تمدح,تفرح
aller,تمشي,تجي,تجري,تمشي,تشوف,تديري
arriver,توصل,تجي,توقع,توقع,توصل,تنجح
combattre l'injustice,تحارب الظلم,تحارب الظلم,تحارب الظلم,تحارب الظلم,تعارض الظلم,تقاوم السيء
combattre,تحارب,تحارب,تحارب,تحارب,تعارض,تقاوم
monter,طلع,طلع,طلع,طلع,زاد,طلع
se brosser les dents,تفرشي سنانك,تنقي سنانك,تستعمل فرشاة,تحافظ على نظافة الفم,تنعش الفم,تهتم بالابتسامة
se laver les mains,تغسل يديك,تنقي يديك,تستعمل صابون,تعقم,تشطف,تحضر للنظافة
ranger sa chambre,ترتب بيتك,تنقي بيتك,تنظم البلاصة,تحط الحوايج,تصنف الممتلكات,تصاوب نظيف
expliquer une idée,تشرح فكرة,توضح فكر,توصف مفهوم,تشارك فكرة,تفصل خطة,تبين واضح
expliquer une règle,تشرح قاعدة,توضح نظام,تحسب على قانون,تفسر معيار,توضح مبدأ,توصف توجيه
expliquer,تشرح,توضح,تحسب,تفسر,توضح,توصف
lire le journal,تقرا الجورنال,تشوف الأخبار,تشوف العناوين,تقرا الجورنال,تتبع الأحداث,تفحص الأخبار
chanter,تغني,تغني,تحتفل,تغني,تغني,تمدح
lancer une pierre,ترمي حجرا,ترمي حجرا,ترمي شيء,ترمي شيء,ترمي مادة,ترمي طائر
jeter,ترمي,ترمي,ترمي,ترمي,ترفض,تهدر
apporter un cadeau,تجيب هدية,تحمل هدية,تساهم بعرض,تزيد مفاجأة,تورد هدية,تسبب فرح
emporter un souvenir,تاخد ذكرى,تحمل ذكرى,تنقي تذكير,تربح تذكير,تنتصر على تذكير,تتغلب على الماضي
emporter,تاخد,تحمل,تنقي,تربح,تنتصر,تتغلب
apporter,تجيب,تحمل,تساهم,تزيد,تورد,تسبب
porter,تلبس,تحمل,تحمل,تدعم,تجيب,تتحمل
savoir,تعرف,تعرف,تفكر,تؤمن,تفهم,تعلم
vouloir,تبغي,تعرف,تعرف,تحب,تحب,تحتاج
vendre,تبيع,تشري,تاخد,تعطي,تكون,تلقا
rire aux éclats,تضحك بصوت عالي,تنفجر فالضحك,تقهقه بصوت عالي,تضحك بصوت عالي,تضحك بزاف,تبتسم بزاف
rapporter une nouvelle,تبلغ خبر,تجيب معلومات,تحكي تحديث,تعطي قصة,ترجع حكاية,تحكي حدث
rapporter,تبلغ,تجيب,تحكي,تعطي,ترجع,تحكي
détruire un mur,تدمر حيط,تكسر حاجز,تهدم جدار,تنزل,تطيح,تخرب هيكل
baisser la tête,تنزل راسك,تنحني,تنزل ذقنك,تشوف لتحت,تنحني رقبتك,تستسلم
mélanger les couleurs,تمزج الألوان,تمزج الألوان,تجمع الظلال,تحرك الأصباغ,تصنع لون جديد,تدمج نغمات
mélanger,تمزج,تمزج,تجمع,تخلط,تدمج,تحرك
penser,تفكر,تؤمن,تفكر,تتخيل,تفترض,تتأمل
commencer,تبدا,تبدا,تبدا,تبدا,تبدا,تحل
se fâcher,تعصب,تعصب,تفقد الأعصاب,تتشاجر,تتشاجر,تغضب
coûter,تكلف,تكلف,تتطلب,تاخد,تسبب,تتطلب
coûter cher,تكلف بزاف,تكلف بزاف,تتطلب بزاف,تاخد عالي,تسبب عالي,تتطلب كبير
avoir raison,تكون على حق,تكون صحيح,تكون عندك الحق,تعرف أحسن,تربح الحجة,تثبت نقطة
faire attention,تعطي انتباه,تكون حذر,تحط بالك,تاخد بالك,تلاحظ,تركز
s'inquiéter,تقلق,تقلق,تقلق,تقلق,تخاف,تضغط
s'opposer à un projet,تعارض مشروع,تكون ضد خطة,تقاوم خطة,تعارض فكرة,تعارض اقتراح,تحارب مفهوم
s'opposer,تعارض,تكون ضد,تقاوم,تعارض,تعارض,تحارب
avoir,تكون,تكون,تديري,تبغي,تعرف,تمشي
nager,تعوم,تغتسل,تطفو,تغوص,تسبح,تعبر
peser les fruits,تقيس الفواكه,توازن المنتج,تفكر فالاختيارات,تقيم الوزن,تقيس للأكل,تقيم الماكلة
échapper à un piège,تهرب من فخ,تتجنب فخ,تهرب من شبكة,تفلت من كمين,تفوت من إغراء,تفوت من طعم
échapper,تهرب,تتجنب,تهرب,تفلت,تفوت,تفوت
aider,تساعد,تساعد,تساعد,تدعم,تسهل,تريح
évaluer les risques,تقيم المخاطر,تقيم المخاطر,تقيم المخاطر,تقدر التهديدات,تقيم المخاطر,تحكم على المخاطر
évaluer,تقيم,تقيم,تقيم,تقدر,تقيم,تحكم
attaquer un problème,تهاجم مشكل,تهاجم قضية,تنتقد صعوبة,تهاجم تحدي,تهاجم مشكلة,تهاجم عائق
attaquer,تهاجم,تهاجم,تنتقد,تهاجم,تهاجم,تهاجم
inviter des amis,تدعي أصحاب,تسول على أصحاب,تستضيف ناس,تصوني على ضيوف,ترحب بشركة,تجمع ناس
remercier pour l'aide,تشكر على المساعدة,تقدر المساعدة,تكون ممتن للدعم,تعترف بالمساعدة,تعترف بالمساعدة,تكافئ faveur
remercier,تشكر,تقدر,تكون ممتن,تعترف,تعترف,تكافئ
se maquiller,تحط الماكياج,تحط مستحضرات التجميل,تجملي الوجه,تستعملي الماكياج,تحسني المظهر,ترسمي الوجه
changer,تبدل,تبدل,تبدل,تبدل,تبدل,تحول
avertir d'un danger,تحذر من خطر,تحذر من خطر,تبلغ بتهديد,تحذر من خطر,تبلغ بخطر,تنصح بمشكلة
avertir,تحذر,تحذر,تبلغ,تحذر,تبلغ,تنصح
recommander un livre,توصي بكتاب,تنصح بمجلد,تقترح نص,تمدح رواية,تدعم قصة,تصف حكاية
recommander,توصي,تنصح,تقترح,تمدح,تدعم,تصف
jouer,تلعب,تلعب,تقمار,تؤدي,تمزح,تلعب
réussir,تنجح,تنجح,تربح,تنجح,تدير,تنجح
